fid,tp_id,n,lng,lat,Tipologia,Coordinate,Indirizzo,UPL,UPL_nome,Quartiere,Circoscrizione,Id_Quartie,CAP,indizizzo_link
75,tp_075,75,13.307838,38.093992,Fontanella,"38.093992, 13.307838","Corso Calatafimi,1157",20,Mezzomonreale,Mezzomonreale - Villa Tasca,IV,14,90131,"<a href=""https://maps.google.com/?q=38.093992,13.307838"" title=""Corso Calatafimi,1157"">Corso Calatafimi,1157</a>"
76,tp_076,76,13.323331,38.109835,Fontanella,"38.109835, 13.323331","Via Altarello, 76",23,Altarello - Tasca Lanza,Altarello,IV,15,90135,"<a href=""https://maps.google.com/?q=38.109835,13.323331"" title=""Via Altarello, 76"">Via Altarello, 76</a>"
77,tp_077,77,13.276028,38.19924,Fontanella,"38.19924, 13.276028","Via Amorello, 1",49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.19924,13.276028"" title=""Via Amorello, 1"">Via Amorello, 1</a>"
78,tp_078,78,13.276254,38.198393,Fontanella,"38.198393, 13.276254",Piazza Ss. Cosima E Damiano,49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.198393,13.276254"" title=""Piazza Ss. Cosima E Damiano"">Piazza Ss. Cosima E Damiano</a>"
79,tp_079,79,13.274645,38.198261,Fontanella,"38.198261, 13.274645",Piazza Marina Di Sferracavallo,49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.198261,13.274645"" title=""Piazza Marina Di Sferracavallo"">Piazza Marina Di Sferracavallo</a>"
80,tp_080,80,13.277935,38.196957,Fontanella,"38.196957, 13.277935","Via Sferracavallo, 198",49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.196957,13.277935"" title=""Via Sferracavallo, 198"">Via Sferracavallo, 198</a>"
81,tp_081,81,13.275186,38.197802,Fontanella,"38.197802, 13.275186",Piazzetta Baglicello,49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.197802,13.275186"" title=""Piazzetta Baglicello"">Piazzetta Baglicello</a>"
82,tp_082,82,13.315455,38.147962,Fontanella,"38.147962, 13.315455","Via Trabucco, 67",38,Cruillas,Cruillas - S.Giovanni Apostolo,VI,19,90146,"<a href=""https://maps.google.com/?q=38.147962,13.315455"" title=""Via Trabucco, 67"">Via Trabucco, 67</a>"
83,tp_083,83,13.316556,38.198016,Fontanella,"38.198016, 13.316556","Via Carbone, 67",50,Partanna Mondello,Partanna Mondello,VII,22,90151,"<a href=""https://maps.google.com/?q=38.198016,13.316556"" title=""Via Carbone, 67"">Via Carbone, 67</a>"
84,tp_084,84,13.345939,38.109323,Fontanella,"38.109323, 13.345939","Corso Calatafimi, 217",18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90129,"<a href=""https://maps.google.com/?q=38.109323,13.345939"" title=""Corso Calatafimi, 217"">Corso Calatafimi, 217</a>"
85,tp_085,85,13.338787,38.101296,Fontanella,"38.101296, 13.338787",Piazza Generale Turba,18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90129,"<a href=""https://maps.google.com/?q=38.101296,13.338787"" title=""Piazza Generale Turba"">Piazza Generale Turba</a>"
86,tp_086,86,13.367454,38.165183,Fontanella,"38.165183, 13.367454","Via Morici,1 A",55,Vergine Maria,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.165183,13.367454"" title=""Via Morici,1 A"">Via Morici,1 A</a>"
87,tp_087,87,13.373589,38.151374,Fontanella,"38.151374, 13.373589","Piazza Tonnara, 1",54,Arenella,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.151374,13.373589"" title=""Piazza Tonnara, 1"">Piazza Tonnara, 1</a>"
88,tp_088,88,13.374665,38.153294,Fontanella,"38.153294, 13.374665","Via della Leva, 40",54,Arenella,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.153294,13.374665"" title=""Via della Leva, 40"">Via della Leva, 40</a>"
89,tp_089,89,13.347125,38.110888,Fontanella,"38.110888, 13.347125",Cortile Casermaggio,18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90129,"<a href=""https://maps.google.com/?q=38.110888,13.347125"" title=""Cortile Casermaggio"">Cortile Casermaggio</a>"
90,tp_090,90,13.307046,38.108705,Fontanella,"38.108705, 13.307046","Via Michele Fanara, 2",24,Boccadifalco - Baida,Boccadifalco,IV,16,90136,"<a href=""https://maps.google.com/?q=38.108705,13.307046"" title=""Via Michele Fanara, 2"">Via Michele Fanara, 2</a>"
91,tp_091,91,13.346463,38.111831,Fontanella,"38.111831, 13.346463",Via Danisinni Ang. La Fiura,18,Cuba - Calatafimi,Cuba - Calatafimi,IV,5,90134,"<a href=""https://maps.google.com/?q=38.111831,13.346463"" title=""Via Danisinni Ang. La Fiura"">Via Danisinni Ang. La Fiura</a>"
92,tp_092,92,13.371578,38.11757,Fontanella,"38.11757, 13.371578","Via Scopari, 6",1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.11757,13.371578"" title=""Via Scopari, 6"">Via Scopari, 6</a>"
93,tp_093,93,13.37399,38.153135,Fontanella,"38.153135, 13.37399",Piazzetta Caruso Arenella,54,Arenella,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.153135,13.37399"" title=""Piazzetta Caruso Arenella"">Piazzetta Caruso Arenella</a>"
94,tp_094,94,13.277714,38.199397,Fontanella,"38.199397, 13.277714",Via dei Pescatori,49,Sferracavallo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.199397,13.277714"" title=""Via dei Pescatori"">Via dei Pescatori</a>"
95,tp_095,95,13.322712,38.131648,Fontanella,"38.131648, 13.322712","Piazza Uditore, 15",34,Uditore,Uditore - Passo di Rigano,V,17,90145,"<a href=""https://maps.google.com/?q=38.131648,13.322712"" title=""Piazza Uditore, 15"">Piazza Uditore, 15</a>"
96,tp_096,96,13.313684,38.126913,Fontanella,"38.126913, 13.313684",Via Casalini Ang. Leonardo Da Vinci,35,Passo di Rigano,Uditore - Passo di Rigano,V,17,90135,"<a href=""https://maps.google.com/?q=38.126913,13.313684"" title=""Via Casalini Ang. Leonardo Da Vinci"">Via Casalini Ang. Leonardo Da Vinci</a>"
97,tp_097,97,13.301743,38.174382,Fontanella,"38.174382, 13.301743","Via Tommaso Natale, 61",48,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.174382,13.301743"" title=""Via Tommaso Natale, 61"">Via Tommaso Natale, 61</a>"
98,tp_098,98,13.371165,38.154213,Fontanella,"38.154213, 13.371165","Via  Massaia Guglielmo Cardinale, 159",54,Arenella,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.154213,13.371165"" title=""Via  Massaia Guglielmo Cardinale, 159"">Via  Massaia Guglielmo Cardinale, 159</a>"
99,tp_099,99,13.323104,38.100284,Fontanella,"38.100284, 13.323104","Corso Calatafimi, 927",20,Mezzomonreale,Mezzomonreale - Villa Tasca,IV,14,90135,"<a href=""https://maps.google.com/?q=38.100284,13.323104"" title=""Corso Calatafimi, 927"">Corso Calatafimi, 927</a>"
100,tp_100,100,13.334822,38.153186,Fontanella,"38.153186, 13.334822","Via Resuttana, 418",43,Resuttana,Resuttana - San Lorenzo,VI,20,90146,"<a href=""https://maps.google.com/?q=38.153186,13.334822"" title=""Via Resuttana, 418"">Via Resuttana, 418</a>"
101,tp_101,101,13.332909,38.153059,Fontanella,"38.153059, 13.332909",Piazzetta Scannaserpe,43,Resuttana,Resuttana - San Lorenzo,VI,20,90146,"<a href=""https://maps.google.com/?q=38.153059,13.332909"" title=""Piazzetta Scannaserpe"">Piazzetta Scannaserpe</a>"
102,tp_102,102,13.321899,38.159765,Fontanella,"38.159765, 13.321899","Via Nuova 106,",44,San Lorenzo,Resuttana - San Lorenzo,VI,20,90146,"<a href=""https://maps.google.com/?q=38.159765,13.321899"" title=""Via Nuova 106,"">Via Nuova 106,</a>"
103,tp_103,103,13.334687,38.172812,Fontanella,"38.172812, 13.334687","Via Giusino, 24",46,Pallavicino,Pallavicino,VII,23,90146,"<a href=""https://maps.google.com/?q=38.172812,13.334687"" title=""Via Giusino, 24"">Via Giusino, 24</a>"
104,tp_104,104,13.357473,38.144163,Fontanella,"38.144163, 13.357473","Via Isac Rabin, 33",52,Montepellegrino,Montepellegrino,VIII,24,90142,"<a href=""https://maps.google.com/?q=38.144163,13.357473"" title=""Via Isac Rabin, 33"">Via Isac Rabin, 33</a>"
105,tp_105,105,13.368535,38.144994,Fontanella,"38.144994, 13.368535","Salita Belmonte, 40",53,Acquasanta,Montepellegrino,VIII,24,90142,"<a href=""https://maps.google.com/?q=38.144994,13.368535"" title=""Salita Belmonte, 40"">Salita Belmonte, 40</a>"
106,tp_106,106,13.326594,38.163538,Fontanella,"38.163538, 13.326594","Via Florio, 27 E",46,Pallavicino,Pallavicino,VII,23,90146,"<a href=""https://maps.google.com/?q=38.163538,13.326594"" title=""Via Florio, 27 E"">Via Florio, 27 E</a>"
107,tp_107,107,13.336199,38.152231,Fontanella,"38.152231, 13.336199","Via Resuttana, 372",43,Resuttana,Resuttana - San Lorenzo,VI,20,90146,"<a href=""https://maps.google.com/?q=38.152231,13.336199"" title=""Via Resuttana, 372"">Via Resuttana, 372</a>"
108,tp_108,108,13.327315,38.137681,Fontanella,"38.137681, 13.327315","Vicolo Felice, 9",34,Uditore,Uditore - Passo di Rigano,V,17,90145,"<a href=""https://maps.google.com/?q=38.137681,13.327315"" title=""Vicolo Felice, 9"">Vicolo Felice, 9</a>"
109,tp_109,109,13.328337,38.138468,Fontanella,"38.138468, 13.328337","Via Felice, 4",34,Uditore,Uditore - Passo di Rigano,V,17,90145,"<a href=""https://maps.google.com/?q=38.138468,13.328337"" title=""Via Felice, 4"">Via Felice, 4</a>"
110,tp_110,110,13.311333,38.125969,Fontanella,"38.125969, 13.311333","Cortile Prestigiacomo, 10 In Via Castellana",35,Passo di Rigano,Uditore - Passo di Rigano,V,17,90135,"<a href=""https://maps.google.com/?q=38.125969,13.311333"" title=""Cortile Prestigiacomo, 10 In Via Castellana"">Cortile Prestigiacomo, 10 In Via Castellana</a>"
111,tp_111,111,13.366613,38.145292,Fontanella,"38.145292, 13.366613","Pizzetta Di Cristofalo, 5",53,Acquasanta,Montepellegrino,VIII,24,90142,"<a href=""https://maps.google.com/?q=38.145292,13.366613"" title=""Pizzetta Di Cristofalo, 5"">Pizzetta Di Cristofalo, 5</a>"
112,tp_112,112,13.389449,38.096828,Fontanella,"38.096828, 13.389449","Fondo Mortillaro, 6",6,Settecannoli,Settecannoli,II,11,90124,"<a href=""https://maps.google.com/?q=38.096828,13.389449"" title=""Fondo Mortillaro, 6"">Fondo Mortillaro, 6</a>"
113,tp_113,113,13.373851,38.154404,Fontanella,"38.154404, 13.373851","Via Caruso, 43",54,Arenella,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.154404,13.373851"" title=""Via Caruso, 43"">Via Caruso, 43</a>"
114,tp_114,114,13.418855,38.068478,Fontanella,"38.068478, 13.418855","Via Giardina, 2",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90121,"<a href=""https://maps.google.com/?q=38.068478,13.418855"" title=""Via Giardina, 2"">Via Giardina, 2</a>"
115,tp_115,115,13.417459,38.06754,Fontanella,"38.06754, 13.417459","Via Giardina, 53",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90121,"<a href=""https://maps.google.com/?q=38.06754,13.417459"" title=""Via Giardina, 53"">Via Giardina, 53</a>"
116,tp_116,116,13.416643,38.067044,Fontanella,"38.067044, 13.416643","Piazza Giardina, 3",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90121,"<a href=""https://maps.google.com/?q=38.067044,13.416643"" title=""Piazza Giardina, 3"">Piazza Giardina, 3</a>"
117,tp_117,117,13.405929,38.09373,Fontanella,"38.09373, 13.405929","Corso dei Mille, 1294",7,Roccella Acqua dei Corsari,Settecannoli,II,11,90121,"<a href=""https://maps.google.com/?q=38.09373,13.405929"" title=""Corso dei Mille, 1294"">Corso dei Mille, 1294</a>"
118,tp_118,118,13.406831,38.093465,Fontanella,"38.093465, 13.406831","Corso dei Mille, 1258",7,Roccella Acqua dei Corsari,Settecannoli,II,11,90121,"<a href=""https://maps.google.com/?q=38.093465,13.406831"" title=""Corso dei Mille, 1258"">Corso dei Mille, 1258</a>"
119,tp_119,119,13.393617,38.098127,Fontanella,"38.098127, 13.393617","Corso dei Mille, 988",7,Roccella Acqua dei Corsari,Settecannoli,II,11,90123,"<a href=""https://maps.google.com/?q=38.098127,13.393617"" title=""Corso dei Mille, 988"">Corso dei Mille, 988</a>"
120,tp_120,120,13.387449,38.093763,Fontanella,"38.093763, 13.387449","Via Giafar, 127",8,Brancaccio Conte Federico,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.093763,13.387449"" title=""Via Giafar, 127"">Via Giafar, 127</a>"
121,tp_121,121,13.382879,38.096174,Fontanella,"38.096174, 13.382879","Via Brancaccio, 228",8,Brancaccio Conte Federico,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.096174,13.382879"" title=""Via Brancaccio, 228"">Via Brancaccio, 228</a>"
122,tp_122,122,13.407128,38.075933,Fontanella,"38.075933, 13.407128","Via Ciaculli, 240",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.075933,13.407128"" title=""Via Ciaculli, 240"">Via Ciaculli, 240</a>"
123,tp_123,123,13.40454,38.07704,Fontanella,"38.07704, 13.40454","Via Ciaculli, 216",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.07704,13.40454"" title=""Via Ciaculli, 216"">Via Ciaculli, 216</a>"
124,tp_124,124,13.398733,38.079246,Fontanella,"38.079246, 13.398733","Via Giulio Tenaglia, 41",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.079246,13.398733"" title=""Via Giulio Tenaglia, 41"">Via Giulio Tenaglia, 41</a>"
125,tp_125,125,13.368958,38.100082,Fontanella,"38.100082, 13.368958","Via Guadagna, 50",11,Oreto Guadagna,Oreto - Stazione,III,3,90124,"<a href=""https://maps.google.com/?q=38.100082,13.368958"" title=""Via Guadagna, 50"">Via Guadagna, 50</a>"
126,tp_126,126,13.36725,38.165789,Fontanella,"38.165789, 13.36725","Piazza Vergine Maria, 12",55,Vergine Maria,Arenella - Vergine Maria,VII,25,90142,"<a href=""https://maps.google.com/?q=38.165789,13.36725"" title=""Piazza Vergine Maria, 12"">Piazza Vergine Maria, 12</a>"
127,tp_127,127,13.3994,38.099475,Fontanella,"38.099475, 13.3994","Via Sperone, 204",7,Roccella Acqua dei Corsari,Settecannoli,II,11,90123,"<a href=""https://maps.google.com/?q=38.099475,13.3994"" title=""Via Sperone, 204"">Via Sperone, 204</a>"
128,tp_128,128,13.361543,38.10116,Fontanella,"38.10116, 13.361543","Piazza S. Orsola, 7",10,Oreto Perez,Oreto - Stazione,III,3,90127,"<a href=""https://maps.google.com/?q=38.10116,13.361543"" title=""Piazza S. Orsola, 7"">Piazza S. Orsola, 7</a>"
129,tp_129,129,13.355178,38.118552,Fontanella,"38.118552, 13.355178","Piazza San Gregorio, 13",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.118552,13.355178"" title=""Piazza San Gregorio, 13"">Piazza San Gregorio, 13</a>"
130,tp_130,130,13.364111,38.120685,Fontanella,"38.120685, 13.364111","Via Sant'alesandro, 47",4,Castellammare o Loggia,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.120685,13.364111"" title=""Via Sant'alesandro, 47"">Via Sant'alesandro, 47</a>"
131,tp_131,131,13.370935,38.11984,Fontanella,"38.11984, 13.370935","Piazza Santo Spirito, 15",4,Castellammare o Loggia,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.11984,13.370935"" title=""Piazza Santo Spirito, 15"">Piazza Santo Spirito, 15</a>"
132,tp_132,132,13.367446,38.115299,Fontanella,"38.115299, 13.367446","Piazza Chiesa dei Cocchieri, 4",1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.115299,13.367446"" title=""Piazza Chiesa dei Cocchieri, 4"">Piazza Chiesa dei Cocchieri, 4</a>"
133,tp_133,133,13.365605,38.116642,Fontanella,"38.116642, 13.365605","Arco dei Cartari, 7",1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.116642,13.365605"" title=""Arco dei Cartari, 7"">Arco dei Cartari, 7</a>"
134,tp_134,134,13.322962,38.105585,Fontanella,"38.105585, 13.322962","Fondo Micciulla, 11",23,Altarello - Tasca Lanza,Altarello,IV,15,90135,"<a href=""https://maps.google.com/?q=38.105585,13.322962"" title=""Fondo Micciulla, 11"">Fondo Micciulla, 11</a>"
135,tp_135,135,13.358786,38.127628,Fontanella,"38.127628, 13.358786","Piazza Mulino A Vento, 1",25,Borgo Vecchio - Principe Scordia,Politeama,VIII,10,90139,"<a href=""https://maps.google.com/?q=38.127628,13.358786"" title=""Piazza Mulino A Vento, 1"">Piazza Mulino A Vento, 1</a>"
136,tp_136,136,13.358075,38.128977,Fontanella,"38.128977, 13.358075",Piazzetta Ettore Ximenes,25,Borgo Vecchio - Principe Scordia,Politeama,VIII,10,90139,"<a href=""https://maps.google.com/?q=38.128977,13.358075"" title=""Piazzetta Ettore ""imenes"">Piazzetta Ettore ""imenes</a>"
137,tp_137,137,13.328953,38.168224,Fontanella,"38.168224, 13.328953",Città dei RagazziiIn Viale Duca degli Abruzzi,46,Pallavicino,Pallavicino,VII,23,90146,"<a href=""https://maps.google.com/?q=38.168224,13.328953"" title=""Città dei RagazziiIn Viale Duca degli Abruzzi"">Città dei RagazziiIn Viale Duca degli Abruzzi</a>"
138,tp_138,138,13.352246,38.114777,Fontanella,"38.114777, 13.352246","Pizza Peranni Domenico, 10",3,Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.114777,13.352246"" title=""Pizza Peranni Domenico, 10"">Pizza Peranni Domenico, 10</a>"
139,tp_139,139,13.357842,38.113477,Fontanella,"38.113477, 13.357842","Piazzetta Settecantoni, 2",2,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.113477,13.357842"" title=""Piazzetta Settecantoni, 2"">Piazzetta Settecantoni, 2</a>"
140,tp_140,140,13.332204,38.07683,Fontanella,"38.07683, 13.332204","Via Villagrazia, 467",15,Villagrazia,Villagrazia - Falsomiele,III,13,90126,"<a href=""https://maps.google.com/?q=38.07683,13.332204"" title=""Via Villagrazia, 467"">Via Villagrazia, 467</a>"
141,tp_141,141,13.285067,38.190947,Fontanella,"38.190947, 13.285067","Piazza Tommaso Natale, 90",48,Tommaso Natale - Sant'Ambrogio - Cardillo,Tommaso Natale - Sferracavallo,VII,21,90147,"<a href=""https://maps.google.com/?q=38.190947,13.285067"" title=""Piazza Tommaso Natale, 90"">Piazza Tommaso Natale, 90</a>"
142,tp_142,142,13.366538,38.146078,Fontanella,"38.146078, 13.366538","Salita Cortile  Le Chiavi, 39",53,Acquasanta,Montepellegrino,VIII,24,90142,"<a href=""https://maps.google.com/?q=38.146078,13.366538"" title=""Salita Cortile  Le Chiavi, 39"">Salita Cortile  Le Chiavi, 39</a>"
143,tp_143,143,13.330118,38.173522,Fontanella,"38.173522, 13.330118","Via Mater Dolorosa, 97",46,Pallavicino,Pallavicino,VII,23,90146,"<a href=""https://maps.google.com/?q=38.173522,13.330118"" title=""Via Mater Dolorosa, 97"">Via Mater Dolorosa, 97</a>"
144,tp_144,144,13.358899,38.114269,Fontanella,"38.114269, 13.358899","Via SS. Salvatore, 30",2,Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I,2,90134,"<a href=""https://maps.google.com/?q=38.114269,13.358899"" title=""Via SS. Salvatore, 30"">Via SS. Salvatore, 30</a>"
145,tp_145,145,13.385614,38.093773,Fontanella,"38.093773, 13.385614","Via Conte Federico, 61",8,Brancaccio Conte Federico,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.093773,13.385614"" title=""Via Conte Federico, 61"">Via Conte Federico, 61</a>"
146,tp_146,146,13.381778,38.095768,Fontanella,"38.095768, 13.381778",Cortile Lombino,8,Brancaccio Conte Federico,Brancaccio - Ciaculli,II,12,90124,"<a href=""https://maps.google.com/?q=38.095768,13.381778"" title=""Cortile Lombino"">Cortile Lombino</a>"
147,tp_147,147,13.415977,38.066279,Fontanella,"38.066279, 13.416","Piazzetta Cinà, 97",9,Ciaculli Croce Verde,Brancaccio - Ciaculli,II,12,90121,"<a href=""https://maps.google.com/?q=38.066279,13.416"" title=""Piazzetta Cinà, 97"">Piazzetta Cinà, 97</a>"
148,tp_148,148,13.374003,38.117118,Fontanella,"38.117118, 13.374003",Foro Italico Umberto I,1,Tribunali o Kalsa,Tribunali-Castellammare,I,1,90133,"<a href=""https://maps.google.com/?q=38.117118,13.374003"" title=""Foro Italico Umberto I"">Foro Italico Umberto I</a>"
149,tp_149,149,13.323633,38.162785,Fontanella,"38.162785, 13.323633","Via San Lorenzo, 202",44,San Lorenzo,Resuttana - San Lorenzo,VI,20,90146,"<a href=""https://maps.google.com/?q=38.162785,13.323633"" title=""Via San Lorenzo, 202"">Via San Lorenzo, 202</a>"
150,tp_150,150,13.318222,38.180716,Fontanella,"38.180716, 13.318222",Via Fausto Coppi,47,San Filippo Neri,Pallavicino,VII,23,90146,"<a href=""https://maps.google.com/?q=38.180716,13.318222"" title=""Via Fausto Coppi"">Via Fausto Coppi</a>"